Player ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,5,0,1.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0
102,36,29,20.3,3.0,6.3,0.473,2.1,4.9,0.429,0.9,1.4,0.627,0.639,1.1,1.6,0.732,0.4,1.9,2.4,1.3,0.9,0.1,0.8,1.9,9.2
103,29,0,7.6,0.5,1.4,0.366,0.4,1.1,0.364,0.1,0.3,0.375,0.512,0.2,0.3,0.75,0.1,0.2,0.3,0.4,0.4,0.1,0.2,1.1,1.7
104,11,0,2.1,0.3,0.5,0.5,0.1,0.3,0.333,0.2,0.3,0.667,0.583,0.0,0.0,,0.1,0.5,0.5,0.0,0.0,0.1,0.1,0.1,0.6
105,31,11,25.0,2.4,6.2,0.38,1.6,4.6,0.354,0.7,1.5,0.458,0.513,0.7,0.9,0.786,1.1,2.5,3.5,0.8,0.6,0.2,0.6,2.1,7.1
106,24,0,6.3,0.6,1.8,0.326,0.3,1.0,0.25,0.3,0.8,0.421,0.395,0.2,0.3,0.5,0.5,1.0,1.5,0.2,0.3,0.2,0.1,1.0,1.6
107,34,22,28.1,3.0,7.4,0.405,1.9,4.6,0.413,1.1,2.9,0.392,0.532,0.7,1.2,0.625,0.6,2.0,2.6,1.6,0.9,0.2,0.7,1.8,8.6
108,29,18,28.5,3.7,9.8,0.379,1.4,4.1,0.333,2.3,5.7,0.412,0.449,1.2,1.7,0.694,0.3,1.6,1.9,2.6,0.9,0.1,1.3,1.8,10.0
109,23,23,24.7,2.8,3.7,0.774,0.0,0.0,0.0,2.8,3.6,0.783,0.774,1.7,2.7,0.645,2.7,3.8,6.4,0.6,0.9,0.8,0.8,2.6,7.4
110,20,12,26.4,2.9,7.5,0.389,1.4,4.3,0.326,1.5,3.2,0.476,0.483,1.7,1.9,0.892,1.1,1.8,2.8,1.2,0.7,0.2,1.1,1.9,8.9
111,18,0,3.3,0.2,0.3,0.5,0.0,0.0,,0.2,0.3,0.5,0.5,0.2,0.3,0.5,0.2,0.2,0.4,0.0,0.1,0.0,0.2,0.4,0.5
112,35,35,31.7,5.8,10.5,0.556,0.6,2.0,0.29,5.3,8.5,0.617,0.583,3.5,4.7,0.75,4.1,6.7,10.8,1.5,1.2,0.9,2.4,3.5,15.7
113,11,0,2.1,0.5,0.9,0.5,0.1,0.3,0.333,0.4,0.6,0.571,0.55,0.1,0.1,1.0,0.3,0.1,0.4,0.1,0.0,0.0,0.1,0.1,1.1
114,35,21,29.4,4.1,10.0,0.414,0.9,2.5,0.352,3.3,7.5,0.435,0.459,2.3,2.9,0.796,0.5,1.6,2.1,4.2,1.0,0.1,2.1,1.5,11.5
115,33,33,32.7,5.0,11.5,0.436,1.6,4.6,0.34,3.5,6.9,0.5,0.504,3.4,4.3,0.782,2.0,3.6,5.6,3.2,2.1,0.6,1.9,2.5,15.0
116,13,0,9.0,1.9,4.9,0.391,0.7,2.8,0.243,1.2,2.1,0.593,0.461,0.4,0.5,0.833,0.4,0.7,1.1,0.2,0.2,0.4,0.2,1.5,4.9
117,33,33,32.8,5.2,10.9,0.476,1.3,3.4,0.375,3.9,7.5,0.522,0.535,1.6,2.4,0.658,2.3,4.5,6.8,2.7,1.3,0.5,2.1,1.6,13.3
118,35,34,34.4,3.5,9.3,0.376,2.3,6.9,0.329,1.2,2.4,0.512,0.498,1.8,2.2,0.831,0.8,4.7,5.5,3.3,1.6,1.5,2.0,2.6,11.1
119,1,0,16.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0
120,33,33,35.9,6.0,11.9,0.5,0.3,0.8,0.36,5.7,11.2,0.509,0.511,3.2,4.5,0.713,2.3,5.8,8.1,4.7,1.0,1.8,2.4,2.8,15.5
121,14,0,1.4,0.2,0.4,0.5,0.0,0.1,0.0,0.2,0.4,0.6,0.5,0.3,0.4,0.667,0.2,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.7
122,33,10,20.6,2.0,4.1,0.478,0.1,0.7,0.174,1.8,3.4,0.54,0.493,1.8,2.5,0.716,1.0,2.4,3.4,0.8,0.6,0.2,0.8,1.5,5.8
123,13,0,1.8,0.2,0.4,0.4,0.1,0.2,0.5,0.1,0.2,0.333,0.5,0.2,0.2,0.667,0.1,0.1,0.2,0.1,0.0,0.1,0.0,0.1,0.5
124,16,0,4.6,0.3,0.5,0.5,0.2,0.4,0.429,0.1,0.1,1.0,0.688,0.0,0.1,0.0,0.1,0.3,0.4,0.4,0.1,0.1,0.2,0.4,0.7
125,24,1,11.4,1.1,3.8,0.286,0.6,2.6,0.238,0.5,1.2,0.393,0.368,1.0,1.2,0.821,0.1,0.6,0.7,0.5,0.4,0.1,0.5,0.9,3.8
126,35,34,20.3,3.4,6.5,0.524,0.5,1.7,0.317,2.9,4.8,0.599,0.566,1.2,2.1,0.575,2.7,4.1,6.8,0.6,0.4,0.7,1.0,2.2,8.5
127,34,1,17.4,3.0,5.1,0.593,0.1,0.4,0.333,2.9,4.6,0.618,0.608,1.6,2.5,0.628,2.1,2.3,4.4,0.6,0.6,1.0,0.9,2.8,7.7
128,2,0,2.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0
129,31,29,33.7,6.8,16.3,0.417,2.7,7.3,0.373,4.1,9.1,0.452,0.5,2.3,2.6,0.864,0.7,2.4,3.1,2.1,1.0,0.1,2.4,1.3,18.6
130,6,0,1.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0
131,12,0,2.3,0.3,0.8,0.4,0.3,0.7,0.5,0.0,0.2,0.0,0.6,0.2,0.3,0.667,0.0,0.2,0.2,0.2,0.1,0.0,0.3,0.1,1.2
132,34,33,33.5,5.5,11.7,0.47,2.3,5.6,0.407,3.2,6.1,0.526,0.567,3.2,3.7,0.866,0.5,2.5,3.0,2.5,1.4,0.5,2.0,1.9,16.5
