Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Max Scharnowski,45,SR,F,6-6,205.0,"Elgin, IL",Wheaton Academy (IL),Alabama
Amarr Knox,1,JR,G,6-3,170.0,"Memphis, TN",Bartlett (TN),Alabama State
CJ Hines,3,SR,G,6-2,185.0,"Atlanta, GA",Archer (GA),Alabama State
TJ Madlock,20,SR,G,6-3,190.0,"Memphis, TN",Houston HS,Alabama State
Micah Simpson,2,JR,G,6-2,190.0,,Morristown East (TN),Alabama State
Jasteven Walker,25,JR,F,6-10,190.0,"Oakland, TN",Fayette Ware (TN),Alabama State
D'Ante Bass,0,JR,F,6-6,200.0,"Savannah, GA",Windsor Forest (GA),Alabama State
Micah Octave,11,SR,G,6-5,185.0,"Boca Raton, FL",Olympic Heights Community (FL),Alabama State
Tyler Mack,5,JR,G,6-5,185.0,"Warren, MI",Cousino (MI),Alabama State
Shawn Fulcher,12,SO,G,6-0,170.0,"Brooklyn, NY",Xaverian (NY); Scotland Campus (PA),Alabama State
Jalen Keago,10,JR,G,6-2,210.0,,Oshkosh North (WI); Speights Academy (FL),Alabama State
Ubong Okon,35,JR,C,7-1,230.0,"Akwa Ibom, Nigeria",NewRock Prep (GA),Alabama State
Mario Andrews,4,JR,C,6-7,200.0,,Independence (LA),Alabama State
Jordon Marshall,13,JR,G,,200.0,,Newton (GA),Alabama State
Caleb Love,1,SR,G,6-4,195.0,"St. Louis, MO",Christian Brothers (MO),Arizona
Jaden Bradley,0,JR,G,6-3,185.0,"Rochester, NY",Cannon School (NC); IMG Academy (FL),Arizona
KJ Lewis,5,SO,G,6-4,205.0,"El Paso, TX",Chapin (TX); Duncanville (TX),Arizona
Henri Veesaar,13,JR,F,7-0,200.0,"Tallinn, Estonia",Real Madrid (Spain),Arizona
Tobe Awaka,30,SO,F,6-8,250.0,"Hyde Park, NY",Cardinal Hayes (NY),Arizona
Trey Townsend,4,SR,F,6-6,212.0,"Oxford, MI",Oxford HS,Arizona
Anthony Dell'Orso,3,JR,G,6-6,190.0,"Melbourne, Australia",Marcellin College (Australia),Arizona
Carter Bryant,9,FR,G,6-8,225.0,"Riverside, CA",Corona Centennial (CA),Arizona
Motiejus Krivas,14,SO,C,7-2,260.0,"Siauliai, Lithuania",Å½algiris Kaunas (Lithuania),Arizona
Conrad Martinez,55,SO,G,6-0,165.0,"Granollers, Spain",Club Joventut Badalona (Spain),Arizona
Emmanuel Stephen,34,FR,F,6-11,230.0,"Lagos, Nigeria",NBA Academy Africa (Senegal); Dream City Christian (AZ),Arizona
Grant Weitman,15,SR,G,6-4,205.0,"Tucson, AZ",Salpointe Catholic HS,Arizona
Addison Arnold,2,FR,G,6-3,185.0,"Simi Valley, CA",Royal HS,Arizona
Liam Lloyd,11,SR,G,6-5,190.0,"Spokane, WA",Gonzaga Prep,Arizona
Sven Djopmo,42,FR,G,6-2,190.0,"Reims, France",,Arizona
Will Menaugh,33,SR,F,6-10,245.0,"Tucson, AZ",Catalina Foothills HS,Arizona
Luke Champion,24,SR,F,6-8,175.0,"Suwanee, GA",Lambert HS,Arizona
Jackson Cook,21,FR,G,6-2,175.0,"Oxford, United Kingdom",Montverde Academy (FL),Arizona
Jackson Francois,8,SO,G,6-4,155.0,"Las Vegas, NV",Bishop Gorman (NV),Arizona
Will Kuykendall,12,FR,G,6-3,175.0,"Santa Maria, CA",St. Joseph (CA),Arizona
Johnell Davis,1,SR,G,6-4,185.0,"Gary, IN",Twenty-First Century HS,Arkansas
Adou Thiero,3,JR,G,6-6,200.0,"Leetsdale, PA",Quaker Valley (PA),Arkansas
D.J. Wagner,21,SO,G,6-3,175.0,"Camden, NJ",Camden (NJ),Arkansas
Karter Knox,11,FR,F,6-6,220.0,"Tampa, FL",Tampa Catholic (FL); Overtime Elite RWE (GA),Arkansas
Zvonimir Ivisic,44,SO,F,7-2,234.0,"Vodice, Croatia",SC Derby (Montenegro),Arkansas
Boogie Fland,2,FR,G,6-2,210.0,"Bronx, NY",Archbishop Stepinac (NY),Arkansas
Trevon Brazile,4,JR,F,6-9,215.0,"Springfield, MO",Kickapoo HS,Arkansas
Jonas Aidoo,9,SR,F,6-11,230.0,"Durham, NC",Durham Voyager Academy (NC); Liberty Heights Athletic Institute (NC),Arkansas
Billy Richmond III,24,FR,F,6-5,205.0,"Memphis, TN",Memphis East (TN); Camden (NJ),Arkansas
Casmir Chavis,5,FR,G,6-0,180.0,"Minneapolis, MN",Park Center (MN),Arkansas
Ayden Kelley,14,FR,G,5-10,170.0,"Memphis, TN",Northpoint Christian (MS),Arkansas
Jaden Karuletwa,0,FR,G,6-5,185.0,"Sun Valley, CA",Santa Clara Christian (CA); Village Christian (CA),Arkansas
Melo Sanchez,8,JR,G,6-4,185.0,"San Diego, CA",Mater Dei Catholic (CA); Veritas Prep (CA),Arkansas
Kareem Watkins,25,SR,G,5-8,145.0,"Camden, NJ",Kingsway (NJ),Arkansas
Johni Broome,4,SR,F,6-10,235.0,"Plant City, FL",Tampa Catholic (FL),Auburn
Chad Baker-Mazara,10,SR,G,6-7,180.0,"Santo Domingo, Dominican Republic",Colonia (NJ); SPIRE Academy (OH),Auburn
Tahaad Pettiford,0,FR,G,6-1,175.0,"Jersey City, NJ",Hudson Catholic (NJ),Auburn
Miles Kelly,13,SR,G,6-4,171.0,"Liburn, GA",Hargrave Military Academy,Auburn
Denver Jones,2,SR,G,6-4,195.0,"New Market, AL",Memphis Day Academy (TN),Auburn
Chaney Johnson,31,SR,G,6-7,220.0,"Alabaster, AL",Thompson (AL),Auburn
Dylan Cardwell,44,SR,C,6-11,250.0,"Augusta, GA",McEachern HS,Auburn
Jahki Howard,3,FR,F,6-6,185.0,"Boston, MA",Norcross (GA); Donda Academy (CA); Overtime Elite (GA),Auburn
Ja'Heim Hudson,8,JR,F,6-7,230.0,"Marietta, GA",Wheeler HS,Auburn
