Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
,Team Totals,,35,35,202.1,27.7,59.1,0.47,7.3,21.7,0.336,20.5,37.4,0.547,0.531,16.4,21.9,0.75,12.5,26.3,38.8,15.4,6.4,3.4,11.0,16.7,79.2,,UNC Wilmington
1.0,Ian Martinez,G,34,34,29.5,4.9,11.1,0.435,2.3,6.3,0.366,2.6,4.9,0.524,0.538,4.4,5.0,0.876,0.8,2.6,3.4,2.7,0.9,0.3,1.8,2.0,16.4,,Utah State
2.0,Mason Falslev,G,34,34,32.3,5.8,11.6,0.497,1.6,4.0,0.39,4.2,7.6,0.554,0.564,1.8,3.1,0.579,1.3,5.0,6.3,3.7,2.3,0.1,2.1,2.1,15.0,,Utah State
3.0,Dexter Akanno,G,34,13,25.0,2.6,5.8,0.455,1.5,3.5,0.424,1.2,2.4,0.5,0.581,1.4,1.8,0.754,0.9,2.4,3.2,1.0,0.6,0.0,0.7,1.6,8.1,,Utah State
4.0,Deyton Albury,G,34,23,18.8,2.7,4.9,0.548,0.4,0.9,0.433,2.3,4.1,0.572,0.586,2.0,2.9,0.687,0.7,1.8,2.5,1.7,0.9,0.1,1.1,1.7,7.8,,Utah State
5.0,Karson Templin,F,34,3,17.0,2.8,5.3,0.525,0.4,1.3,0.295,2.4,4.0,0.6,0.561,1.5,2.6,0.586,2.0,3.0,5.0,0.8,0.5,0.6,0.7,2.6,7.4,,Utah State
6.0,Drake Allen,G,32,11,21.1,2.5,5.5,0.457,0.7,2.3,0.288,1.8,3.2,0.578,0.517,1.3,2.2,0.623,0.5,1.4,1.9,3.8,1.2,0.4,1.5,1.7,7.0,,Utah State
7.0,Aubin Gateretse,F,33,31,17.7,2.6,3.5,0.744,0.0,0.2,0.2,2.6,3.4,0.768,0.748,1.1,1.9,0.571,1.9,2.3,4.2,0.5,0.3,0.7,1.1,2.5,6.4,,Utah State
8.0,Tucker Anderson,F,34,9,16.9,2.0,5.3,0.376,1.1,3.8,0.295,0.9,1.5,0.577,0.481,0.7,0.9,0.828,0.6,1.4,2.0,0.7,0.4,0.4,0.4,1.3,5.8,,Utah State
9.0,Isaac Johnson,C,30,12,8.7,1.3,3.1,0.435,0.6,1.7,0.333,0.8,1.4,0.561,0.527,0.4,0.6,0.722,0.6,1.1,1.7,0.3,0.4,0.2,0.4,1.1,3.7,,Utah State
